Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94475,,,,,,,,,,69397,77549,54840,39263,61362,86895,139087,161778,,
Angola,AGO,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1682870,1632282,1496834,1999868,2298979,2769305,3794253,3874892,,
Albania,ALB,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5165,4380,4575,3685,3849,4013,,
Argentina,ARG,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,,,,,,,,,,72,18,4,4,4,11,7,18,,
Armenia,ARM,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,,,,1,,,,,2,2,2,,
American Samoa,ASM,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1526,,,,,,,,,,52,8,4,4,2,1,1,1,,
Burundi,BDI,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308095,,,,,,,,,,1763447,1571874,2151076,4141387,4585273,5159706,8274062,7670177,,
Belgium,BEL,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422968,705839,1078834,1044235,1268347,1324576,1696777,,
Burkina Faso,BFA,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804539,428113,3858046,3769051,5428655,7015446,9779154,10225459,,
Bangladesh,BGD,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55599,,,,,,,,,,55873,51773,9901,3864,10216,6608,4787,4912,,
Bulgaria,BGR,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1486,,,,,,,,,,150,79,37,26,19,13,5,9,,
Bermuda,BMU,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31469,,,,,,,,,,13769,7143,7415,7342,7401,6907,5553,4587,,
Brazil,BRA,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613241,,,,,,,,,,334667,267146,242758,177767,144130,143161,129246,194370,,
Barbados,BRB,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5935,,,,,,,,,,436,194,82,45,48,104,74,51,,
Botswana,BWA,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10510,,,,,,,,,,1046,432,193,456,1346,326,716,1900,,
Central African Republic,CAF,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33411,,,,,,,,,,,,46759,116300,295088,598833,1032764,383309,,
Canada,CAN,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8025,,,,,,,,,,4990,3367,2603,4086,2921,3088,3129,2666,,
Cote d'Ivoire,CIV,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15705,,,,,,,,,,62726,29976,1140627,2506953,3712831,3375904,3471024,3274683,,
Cameroon,CMR,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15212,,26651,,1162784,1675264,1191257,,
"Congo, Dem. Rep.",COD,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897,,,,,,,,,,2417780,4561981,4791598,6715223,9968983,11627473,15330841,15176927,,
"Congo, Rep.",COG,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15751,,,,,,,,,,,37744,120319,43232,66323,51529,171847,127939,,
Colombia,COL,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144432,,,,,,,,,,117650,64309,60179,51696,40768,51594,63170,43405,,
Comoros,COM,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801784,,,,,,,,,,36538,24856,49840,53156,2203,1300,1066,2274,,
Cabo Verde,CPV,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,47,36,36,46,46,28,75,446,,
Costa Rica,CRI,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1879,,,,,,,,,,114,17,8,6,6,8,13,25,,
Caribbean small states,CSS,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010,,25,1684,9439,9473,13804,14671,,
Dominica,DMA,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1233,,,,,,,,,,3414,1616,952,579,496,661,755,398,,
Algeria,DZA,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541,,,,,,,,,,408,191,887,603,266,747,432,453,,
East Asia & Pacific (excluding high income),EAP,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104528,,,,,,,,,,1888,1233,558,378,242,686,1424,1380,,
"Egypt, Arab Rep.",EGY,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,85,116,206,262,313,291,233,305,,
Euro area,EMU,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35982,34848,21815,21317,30768,19372,24251,31486,,
Spain,ESP,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1158197,1480306,1692578,2645454,2118815,1867059,1718504,1530739,,
European Union,EUU,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,FRO,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50810,,,,,,,,,,13936,,19753,28982,31900,23867,23915,35244,,
United Kingdom,GBR,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,,,,,,,,,,0,6,5,7,6,5,7,8,,
Ghana,GHA,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071637,1041260,3755166,1639451,3415912,4319919,4535167,4375939,,
Gibraltar,GIB,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,,,,,,,,,,20936,95574,317200,211257,660207,810979,992146,1335323,,
"Gambia, The",GMB,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116353,261967,300363,240792,166229,240382,153774,69931,,
Guinea-Bissau,GNB,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50391,71982,50381,54584,93431,142309,150903,143554,,
Equatorial Guinea,GNQ,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53813,22466,15169,13129,20417,15142,147714,15725,,
Greece,GRC,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53311,,,,,,,,,,7384,6817,5346,6214,4931,6836,4854,3744,,
Guam,GUM,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24018,,,,,,,,,,22935,29506,31656,31479,12354,9984,12367,13936,,
High income,HIC,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35125,,,,,,,,,,9685,7510,6449,5428,3482,3575,4096,1286,,
Heavily indebted poor countries (HIPC),HPC,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,HRV,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,HTI,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16897,,,,,,,,,,84153,32969,25423,20957,17696,17583,21998,18843,,
Hungary,HUN,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245612,,,,,,,,,,465764,422447,417819,343527,252027,217025,218450,261617,,
Isle of Man,IMN,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2031790,,,,,,,,,,1599986,1310656,1067824,881730,1102205,1169261,1087285,844558,,
Not classified,INX,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",IRN,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19716,,,,,,,,,,3031,3239,1629,1373,1243,799,705,939,,
Iraq,IRQ,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860,,,,,,,,,,7,11,8,8,2,2,5,9,,
Iceland,ISL,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,ITA,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,JAM,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,JOR,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,JPN,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,KAZ,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,,
Kenya,KEN,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898531,1002805,1453471,2335286,2808931,1499027,2783846,3215116,,
Kyrgyz Republic,KGZ,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,6,5,3,4,0,1,6,2,,
Cambodia,KHM,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62442,,,,,,,,,,49356,57423,40476,21309,25152,33930,23492,36932,,
Kiribati,KIR,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,KNA,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4183,,,,,,,,,,1772,838,555,443,638,699,219,143,,
Kuwait,KWT,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (excluding high income),LAC,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao PDR,LAO,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40106,,,,,,,,,,20800,17532,46202,38131,48071,36056,11223,9328,,
Lebanon,LBN,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,LBR,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922173,1915762,1407455,1244220,864204,931086,1191137,1070113,,
Libya,LBY,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,LCA,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCN,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
